Global_PointID,Road_PointID,LineOID,Longitude,Latitude,Distance
1,1,0,116.3894463,39.90601589999999,100.0
2,1,1,116.39342015574105,39.899560041081926,100.0
3,2,1,116.39338418303463,39.90024864544678,200.0
4,3,1,116.39334821032821,39.90093724289189,300.0
5,4,1,116.39331286644838,39.90162585117442,400.0
6,5,1,116.39328096217255,39.90231455218899,500.0
7,6,1,116.39324828767847,39.903003225618754,600.0
8,7,1,116.39321561318441,39.903691892126716,700.0
9,8,1,116.39317873086667,39.90438042623123,800.0
10,9,1,116.39314161571708,39.905068946473186,900.0
11,10,1,116.39310450056752,39.9057574597959,1000.0
12,11,1,116.3930805,39.9061255,1100.0
13,1,2,116.41075589906777,39.90691573174988,100.0
14,2,2,116.40985845795885,39.90688534826455,200.0
15,3,2,116.40896098355704,39.90685579476662,300.0
16,4,2,116.4080632252503,39.906831532781204,400.0
17,5,2,116.40716547013908,39.90680720190975,500.0
18,6,2,116.40626769826613,39.906783237281296,600.0
19,7,2,116.40536992531233,39.90675929632028,700.0
20,8,2,116.40517619999997,39.90675430000001,800.0
21,1,3,116.40294498394927,39.94761652819618,100.0
22,2,3,116.40384306789852,39.94763215638878,200.0
23,3,3,116.40474115184777,39.947647784577825,300.0
24,4,3,116.4053914,39.947659099999996,400.0
25,1,4,116.40040729999998,39.9066074,100.0
26,1,5,116.40265793486346,39.930344869087584,100.0
27,2,5,116.4026891697269,39.9296564312514,200.0
28,3,5,116.40272040459035,39.92896798649145,300.0
29,4,5,116.40274975696417,39.92827948949229,400.0
30,5,5,116.40277489196895,39.927590884046516,500.0
31,6,5,116.4028000269737,39.92690227167413,600.0
32,7,5,116.40282516654919,39.92621365247334,700.0
33,8,5,116.4028883,39.92588269999999,800.0
34,1,6,116.40962128815066,39.91993636757976,100.0
35,2,6,116.41050692245902,39.919851578856026,200.0
36,3,6,116.4113656,39.9198481,300.0
37,1,7,116.41222759397593,39.92117479198223,100.0
38,2,7,116.41312482204133,39.921208677249844,200.0
39,3,7,116.41402279728906,39.921217072299,300.0
40,4,7,116.41490085612193,39.921313003953934,400.0
41,5,7,116.41579917114339,39.92131352956711,500.0
42,6,7,116.41602650000002,39.9216771,600.0
43,1,8,116.42069520000001,39.906945099999994,100.0
44,1,9,116.3898178,39.898629799999995,100.0
45,1,10,116.39436173213188,39.898886234404706,100.0
46,2,10,116.39524245520974,39.899021838050395,200.0
